ds,real,rf_pred,xgb_pred,residuo_rf,residuo_xgb
2024-05-15,1425.0,1716.1788050808093,1599.9769,-291.1788050808093,-174.9769287109375
2024-05-16,1794.6,1698.4507676686733,1448.3761,96.14923233132663,346.2239013671874
2024-05-17,1830.5,1834.2748384339027,1686.1289,-3.774838433902687,144.37109375
2024-05-18,1253.5,1316.7255207697583,1218.8308,-63.225520769758305,34.669189453125
2024-05-20,1990.0,1953.0893730723735,2075.0088,36.91062692762648,-85.0087890625
2024-05-21,888.0,1750.8868742011318,1588.8812,-862.8868742011318,-700.8812255859375
2024-05-22,979.8,1591.004279035912,1580.6066,-611.2042790359121,-600.8065673828125
2024-05-23,1655.0,1586.7995005337455,1661.8442,68.20049946625454,-6.84423828125
2024-05-24,1036.0,1432.5901129048718,1299.6344,-396.59011290487183,-263.6343994140625
2024-05-25,738.5,974.4290853577534,1242.7793,-235.92908535775337,-504.279296875
2024-05-27,2304.9,1689.3448671170495,1629.5342,615.5551328829506,675.3658203125001
2024-05-28,568.4,1540.707425321456,1555.56,-972.307425321456,-987.16005859375
2024-05-29,1392.0,1307.3746401520705,1273.2112,84.62535984792953,118.788818359375
2024-05-31,1859.0,1328.1956338858367,1425.9388,530.8043661141633,433.0611572265625
2024-06-01,1036.0,1040.5768106611447,861.9192,-4.576810661144691,174.080810546875
2024-06-03,1991.0,1686.977967494394,1760.9686,304.0220325056059,230.0313720703125
2024-06-04,904.5,1445.0359966926399,1367.0837,-540.5359966926399,-462.583740234375
2024-06-05,1966.0,1225.4654476208239,1258.3448,740.5345523791761,707.6551513671875
2024-06-06,1347.5,1629.0527276961375,1627.6372,-281.5527276961375,-280.13720703125
2024-06-07,829.5,1227.6531944746368,1217.615,-398.15319447463685,-388.114990234375
2024-06-08,587.0,991.1212643444061,1130.2673,-404.1212643444061,-543.267333984375
2024-06-10,1510.5,1517.837925376789,1400.8726,-7.337925376788917,109.62744140625
2024-06-11,2115.5,1483.9340539696955,1443.9271,631.5659460303045,671.5728759765625
2024-06-12,2135.0,1719.6213863073594,1973.951,415.37861369264056,161.0489501953125
2024-06-13,1710.0,1616.550821092129,1736.0803,93.4491789078711,-26.080322265625
2024-06-14,1584.0,1461.9977731717172,1408.5781,122.0022268282828,175.421875
2024-06-15,1006.7,1293.0929209826563,1529.8511,-286.3929209826563,-523.15107421875
2024-06-17,2588.5,1826.017258892496,1675.0863,762.4827411075039,913.4136962890625
2024-06-18,1172.5,1813.1332995624414,1538.2681,-640.6332995624414,-365.76806640625
2024-06-19,2702.0,1858.7125450561664,1796.3989,843.2874549438336,905.60107421875
2024-06-20,1398.0,1646.812353522923,1537.0544,-248.8123535229231,-139.054443359375
2024-06-21,225.0,1509.2960703444878,1510.3068,-1284.2960703444878,-1285.3067626953125
2024-06-22,1653.0,1296.7862615987347,1645.7499,356.21373840126535,7.2501220703125
2024-06-24,1750.5,1689.4138045518969,1929.3855,61.086195448103126,-178.885498046875
2024-06-25,2268.5,1692.0595781885386,1706.6398,576.4404218114614,561.8602294921875
2024-06-26,1701.0,1637.9779999279106,1532.7125,63.02200007208944,168.2874755859375
2024-06-27,2048.0,1479.971579017482,1370.2488,568.0284209825179,677.751220703125
2024-06-28,1485.0,1555.3848394202018,1529.287,-70.38483942020184,-44.2869873046875
2024-06-29,1197.5,1417.6212231239883,1399.2483,-220.12122312398833,-201.748291015625
2024-07-01,3227.5,2283.987979611776,2358.0059,943.5120203882238,869.494140625
2024-07-02,2999.0,2427.5837388060822,2571.9097,571.4162611939178,427.09033203125
2024-07-03,1841.0,2239.674374613997,2294.249,-398.67437461399686,-453.2490234375
2024-07-04,2613.0,2406.609755375529,2311.9468,206.39024462447105,301.05322265625
2024-07-05,870.5,1820.5470576743942,1879.118,-950.0470576743942,-1008.6180419921875
2024-07-06,1208.0,1545.2569931722721,1739.6134,-337.25699317227213,-531.6134033203125
2024-07-08,1647.0,2614.4070971884785,2673.4438,-967.4070971884785,-1026.44384765625
2024-07-09,1322.0,1937.2913574816387,1986.3372,-615.2913574816387,-664.337158203125
2024-07-10,2054.0,1565.480954763347,1626.6156,488.519045236653,427.3843994140625
2024-07-11,2208.0,1668.9175510139808,1749.367,539.0824489860192,458.633056640625
2024-07-12,1226.0,1600.7673546334222,1511.0605,-374.7673546334222,-285.060546875
2024-07-13,1324.1399999999999,1338.9899335463995,1368.5436,-14.849933546399598,-44.40357910156263
2024-07-15,1365.0,1750.6786329078138,1765.8982,-385.67863290781384,-400.898193359375
2024-07-16,2512.0,1788.9852396005103,1846.9788,723.0147603994897,665.021240234375
2024-07-17,1935.0,1950.4063650040932,2043.4608,-15.406365004093232,-108.4608154296875
2024-07-18,1415.1,1787.9374601873653,1842.6382,-372.8374601873654,-427.5381835937501
2024-07-19,1104.43,1555.7834250062158,1404.37,-451.35342500621573,-299.93999511718744
2024-07-20,1378.5,1247.8218897877398,1260.1871,130.6781102122602,118.3128662109375
2024-07-22,1803.5,1827.108844654289,1998.0795,-23.608844654288987,-194.5794677734375
2024-07-23,1082.0,1776.0380849714302,1884.1075,-694.0380849714302,-802.1075439453125
2024-07-24,1992.0,1699.0384058040313,1745.6688,292.9615941959687,246.3311767578125
2024-07-25,899.5,1425.4229965214822,1263.4487,-525.9229965214822,-363.94873046875
2024-07-26,721.5,1328.9395979994442,1332.4789,-607.4395979994442,-610.9788818359375
2024-07-27,1031.0,980.6811879861799,846.8647,50.31881201382009,184.13531494140625
2024-07-29,2118.5,1681.107047172106,1624.1682,437.3929528278941,494.331787109375
2024-07-30,2820.0,1851.2275975737075,1926.7747,968.7724024262925,893.225341796875
2024-07-31,1857.0,1720.214863074763,1697.4517,136.7851369252371,159.54833984375
2024-08-01,346.0,1559.3430803960503,1518.9547,-1213.3430803960503,-1172.9547119140625
2024-08-02,1874.0,1628.3071660040523,1818.3212,245.6928339959477,55.6788330078125
2024-08-03,1230.0,1228.8414577624608,1153.2762,1.1585422375392227,76.7237548828125
2024-08-05,1361.5,1870.650793387614,1802.6094,-509.15079338761393,-441.109375
2024-08-07,1336.0,1639.0620703766815,1495.0548,-303.0620703766815,-159.0548095703125
2024-08-08,1708.0,1417.7818303989902,1340.7966,290.2181696010098,367.203369140625
2024-08-09,3053.5,1615.4209976001262,1589.4374,1438.0790023998738,1464.0626220703125
2024-08-10,1202.5,1328.7923562700362,1488.1979,-126.29235627003618,-285.6978759765625
2024-08-12,2797.0,2046.1752313479851,2020.3356,750.8247686520149,776.6644287109375
2024-08-13,2082.0,2006.7409886621717,1805.4385,75.25901133782827,276.5615234375
2024-08-14,1418.0,2088.523580145364,2094.0261,-670.5235801453641,-676.026123046875
2024-08-15,2196.0,1898.193545341437,1759.7354,297.8064546585631,436.2646484375
2024-08-16,636.5,1791.1622667140632,2036.9106,-1154.6622667140632,-1400.41064453125
2024-08-17,1015.5,1271.953178463315,1372.329,-256.453178463315,-356.8289794921875
2024-08-19,1008.0,1915.445524349706,1920.4812,-907.4455243497059,-912.481201171875
2024-08-20,1121.5,1624.1395669208584,1474.7391,-502.63956692085844,-353.2391357421875
2024-08-21,1091.5,1494.7202122565823,1424.6879,-403.2202122565823,-333.1878662109375
2024-08-22,2508.0,1421.0122574075415,1428.8524,1086.9877425924585,1079.1475830078125
2024-08-23,2801.0,1546.3155496613977,1459.8574,1254.6844503386023,1341.142578125
2024-08-24,1292.5,1218.3170433057503,1237.8916,74.1829566942497,54.6083984375
2024-08-26,6788.0,2380.300254320561,1956.4741,4407.699745679439,4831.52587890625
2024-08-27,1446.0,2062.976372628428,1330.8502,-616.9763726284282,115.1497802734375
2024-08-28,1355.0,2297.7714190894667,1948.4421,-942.7714190894667,-593.442138671875
2024-08-29,956.0,2358.7626200979025,2163.9924,-1402.7626200979025,-1207.992431640625
2024-08-30,2195.0,2996.567589787657,2781.1807,-801.5675897876572,-586.1806640625
2024-08-31,1910.0,1404.8022582326562,1669.873,505.1977417673438,240.126953125
2024-09-02,1326.0,2730.7666913181833,2261.2478,-1404.7666913181833,-935.247802734375
2024-09-03,1520.0,1706.773731488679,1715.7683,-186.773731488679,-195.768310546875
2024-09-04,1895.0,1611.4802074006004,1677.5023,283.5197925993996,217.4976806640625
2024-09-05,1364.0,1465.231792200365,1520.8202,-101.23179220036491,-156.8201904296875
2024-09-06,2016.0,1670.660065567322,1887.7849,345.3399344326781,128.215087890625
2024-09-07,1207.0,1232.1059792804983,1102.9897,-25.10597928049833,104.01025390625
2024-09-09,2043.0,1847.7190478596415,1932.3676,195.28095214035852,110.6324462890625
2024-09-10,1956.1,1596.7516432572518,1583.9028,359.34835674274814,372.1971679687499
2024-09-11,1693.0,1925.684302640416,2052.1392,-232.68430264041604,-359.13916015625
2024-09-12,1873.0,1651.6209530907608,1548.1495,221.37904690923915,324.8504638671875
2024-09-13,1560.0,1618.7229866932505,1622.9309,-58.722986693250505,-62.930908203125
2024-09-16,2042.5,1772.2060142059686,1688.844,270.2939857940314,353.656005859375
2024-09-17,2587.0,1995.44405092887,1984.5104,591.55594907113,602.4896240234375
2024-09-18,1082.0,1758.0003755508233,1501.8798,-676.0003755508233,-419.8797607421875
2024-09-19,2982.0,2113.0279437791105,1759.7543,868.9720562208895,1222.2457275390625
2024-09-20,1675.0,2078.1274642239414,1966.5618,-403.1274642239414,-291.561767578125
2024-09-21,664.5,1340.5707533001455,1210.6151,-676.0707533001455,-546.1151123046875
2024-09-23,1921.0,2313.098952807079,2338.3499,-392.09895280707906,-417.349853515625
2024-09-24,2256.5,1928.025833318287,1787.5754,328.4741666817131,468.924560546875
2024-09-25,2215.0,1877.8319525219877,1881.4537,337.16804747801234,333.5462646484375
2024-09-26,1629.0,1791.813136449988,1975.7588,-162.81313644998795,-346.7587890625
2024-09-27,1179.0,1556.7020400982362,1485.6218,-377.70204009823624,-306.621826171875
2024-09-28,1057.0,1250.010527500002,1250.9366,-193.0105275000019,-193.9366455078125
2024-09-30,1670.0,1682.2907464628156,1424.758,-12.290746462815605,245.241943359375
2024-10-01,1815.0,1749.1032786406931,2044.4989,65.89672135930687,-229.4989013671875
2024-10-02,1109.5,1509.9330480295816,1471.4768,-400.43304802958164,-361.976806640625
2024-10-03,1201.0,1598.3917969913423,1424.8943,-397.3917969913423,-223.894287109375
2024-10-04,1676.5,1385.8243246637808,1332.6064,290.67567533621923,343.8935546875
2024-10-05,2176.0,1163.3405262373758,1223.1986,1012.6594737626242,952.8013916015625
2024-10-07,1460.0,1731.3657033823486,1718.8856,-271.36570338234856,-258.8856201171875
2024-10-08,1816.0,1656.0243519955093,1544.6742,159.97564800449072,271.3258056640625
2024-10-09,2012.5,1511.3381941777293,1388.5618,501.1618058222707,623.938232421875
2024-10-10,2313.0,1731.2577816514683,1570.9742,581.7422183485317,742.0257568359375
2024-10-11,2340.0,1830.603625354257,2016.0142,509.396374645743,323.98583984375
2024-10-12,563.0,1285.100447616523,1264.4144,-722.1004476165231,-701.4144287109375
2024-10-14,3387.0,2335.436754449605,2462.3052,1051.563245550395,924.69482421875
2024-10-15,2157.5,2141.5187223717403,2213.9204,15.981277628259704,-56.42041015625
2024-10-16,2620.0,2063.00051374248,1529.4576,556.99948625752,1090.5423583984375
2024-10-17,1435.0,1882.480648494945,1611.2686,-447.48064849494494,-176.2685546875
2024-10-18,1305.0,2027.9360333414381,1966.5326,-722.9360333414381,-661.5325927734375
2024-10-19,659.5,1278.0346189126994,1110.9828,-618.5346189126994,-451.4827880859375
2024-10-21,1082.5,1898.4794726010102,1692.8784,-815.9794726010102,-610.37841796875
2024-10-22,1456.5,1710.3163414406708,1648.308,-253.81634144067084,-191.8079833984375
2024-10-23,2031.0,1536.9384063850646,1481.7565,494.0615936149354,549.2435302734375
2024-10-24,1882.0,1490.6728432936518,1357.8406,391.3271567063482,524.159423828125
2024-10-25,1191.5,1478.4614442455877,1542.121,-286.9614442455877,-350.6209716796875
