ds,real,prediccion,residuo
2024-09-12,1873.0,1784.3099,88.6900634765625
2024-09-13,1560.0,1906.4241,-346.424072265625
2024-09-16,2042.5,1503.7534,538.74658203125
2024-09-17,2587.0,1668.0498,918.9501953125
2024-09-18,1082.0,1529.2191,-447.2191162109375
2024-09-19,2982.0,1884.9962,1097.0037841796875
2024-09-20,1675.0,2056.7456,-381.74560546875
2024-09-21,664.5,798.5163,-134.01629638671875
2024-09-23,1921.0,1297.128,623.8719482421875
2024-09-24,2256.5,2234.5815,21.91845703125
2024-09-25,2215.0,1593.1362,621.86376953125
2024-09-26,1629.0,2064.233,-435.23291015625
2024-09-27,1179.0,1615.7982,-436.7982177734375
2024-09-28,1057.0,932.3627,124.6373291015625
2024-09-30,1670.0,1287.6913,382.3087158203125
2024-10-01,1815.0,1762.0657,52.934326171875
2024-10-02,1109.5,1723.3934,-613.8934326171875
2024-10-03,1201.0,646.8183,554.1817016601562
2024-10-04,1676.5,1327.8431,348.6568603515625
2024-10-05,2176.0,1489.8439,686.1561279296875
2024-10-07,1460.0,1615.7239,-155.723876953125
2024-10-08,1816.0,1002.66486,813.3351440429688
2024-10-09,2012.5,1068.1075,944.3924560546875
2024-10-10,2313.0,1442.0303,870.9697265625
2024-10-11,2340.0,1461.2161,878.783935546875
2024-10-12,563.0,1644.181,-1081.1810302734375
2024-10-14,3387.0,2322.8022,1064.19775390625
2024-10-15,2157.5,1951.385,206.114990234375
2024-10-16,2620.0,1453.6135,1166.386474609375
2024-10-17,1435.0,1461.1868,-26.186767578125
2024-10-18,1305.0,1208.4235,96.5765380859375
2024-10-19,659.5,659.88196,-0.3819580078125
2024-10-21,1082.5,1762.1362,-679.63623046875
2024-10-22,1456.5,1944.4625,-487.9625244140625
2024-10-23,2031.0,1379.3145,651.685546875
2024-10-24,1882.0,1374.4208,507.5792236328125
2024-10-25,1191.5,1749.2257,-557.7257080078125
2024-10-26,1630.5,947.72675,682.7732543945312
2024-10-28,1713.5,1212.4562,501.0438232421875
2024-10-29,1643.5,1638.043,5.45703125
2024-10-30,628.0,1280.8076,-652.8076171875
2024-10-31,395.0,1528.0697,-1133.0697021484375
2024-11-01,2732.0,1313.4918,1418.5081787109375
2024-11-04,861.0,1967.1467,-1106.146728515625
2024-11-05,2037.0,1954.3232,82.6767578125
2024-11-06,1296.5,1517.8125,-221.3125
2024-11-07,890.0,1075.038,-185.0379638671875
2024-11-08,758.0,805.9399,-47.93988037109375
2024-11-09,2073.5,1923.7455,149.7545166015625
2024-11-11,1378.0,2023.4723,-645.4722900390625
2024-11-12,1333.5,1877.2981,-543.798095703125
2024-11-13,776.5,2144.496,-1367.99609375
2024-11-14,1720.0,1977.2651,-257.26513671875
2024-11-15,2103.0,2096.5066,6.493408203125
2024-11-16,1748.5,1202.7524,545.74755859375
2024-11-18,1487.0,1687.9198,-200.9197998046875
2024-11-19,2058.5,1356.5156,701.984375
2024-11-20,1922.0,1474.9346,447.0654296875
2024-11-21,1545.0,1844.8916,-299.8916015625
2024-11-22,1475.75,1158.5911,317.158935546875
