ds,real,yhat,yhat_lower,yhat_upper,residuo
2024-08-01,14600.5,15960.754226008383,10985.597510403195,20613.28921131346,-1360.2542260083828
2024-09-01,21576.5,22795.536326036312,18469.72321312933,27498.338906352197,-1219.036326036312
2024-10-01,16795.6,17792.39124168278,12893.579460171235,22480.305011942837,-996.7912416827821
2024-11-01,19322.1,23942.86661056952,18962.109244016625,28673.240085853322,-4620.766610569521
2024-12-01,17028.4,14346.42751176325,9887.247465195902,19258.50993778026,2681.972488236752
2025-01-01,9144.5,4142.837218939667,-809.6042235511593,8952.425533590887,5001.662781060333
2025-02-01,11018.0,17924.9507737436,12925.55229261828,22693.90921544521,-6906.9507737436
2025-03-01,11043.0,16573.84825599632,11766.693117622388,21440.967543524876,-5530.8482559963195
2025-04-01,12666.5,19566.028565830682,14747.76257643692,24578.634004300246,-6899.528565830682
2025-05-01,11850.5,6794.272271016222,1799.9373977051132,11535.78241937328,5056.227728983778
2025-06-01,11858.5,6331.527497630674,1445.967680621254,11228.21616386446,5526.972502369326
2025-07-01,11306.0,26953.7566740865,22323.139031967527,31447.94347273566,-15647.7566740865
2025-08-01,16425.0,15139.321113883125,10516.937540525872,19805.262556724614,1285.6788861168752
2025-09-01,11033.0,32120.541724554263,27135.098682213586,37002.817276556525,-21087.541724554263
2025-10-01,17187.92,13452.451206336873,8591.697484676211,18497.8419315345,3735.4687936631253
2025-11-01,14376.0,21790.45007124941,16900.888827246134,26209.21632918576,-7414.450071249408
2025-12-01,12742.59,21665.439071948582,16589.019228176363,26802.244474174568,-8922.849071948582
