fecha,real,prediccion
2024-11-01,19322.1,17915.4915912402
2024-12-01,17028.4,18483.476176288237
2025-01-01,9144.5,18927.680492155214
2025-02-01,11018.0,19261.519674042604
2025-03-01,11043.0,19513.178316214104
2025-04-01,12666.5,19702.84187911338
2025-05-01,11850.5,19845.785213035128
2025-06-01,11858.5,19953.51685851635
2025-07-01,11306.0,20034.710632278176
2025-08-01,16425.0,20095.903690380885
2025-09-01,11033.0,20142.02287155632
2025-10-01,17187.92,20176.781370937308
2025-11-01,14376.0,20202.977700716605
2025-12-01,12742.59,20222.721006846812
