auto,fecha,monto_recibido
222,2019-01-29,165.0
214,2019-01-29,70.0
213,2019-01-29,1100.0
212,2019-01-29,1330.0
211,2019-01-29,310.0
210,2019-01-29,321.0
209,2019-01-29,17.5
215,2019-01-29,200.0
236,2019-01-30,215.0
235,2019-01-30,260.0
233,2019-01-30,110.0
232,2019-01-30,152.0
231,2019-01-30,930.0
230,2019-01-30,145.0
234,2019-01-30,215.0
228,2019-01-30,160.0
227,2019-01-30,570.0
226,2019-01-30,180.0
225,2019-01-30,600.0
224,2019-01-30,647.0
223,2019-01-30,12.0
229,2019-01-30,700.0
247,2019-01-31,75.0
246,2019-01-31,200.0
245,2019-01-31,740.0
244,2019-01-31,31.0
243,2019-01-31,1200.0
241,2019-01-31,41.0
240,2019-01-31,188.0
239,2019-01-31,305.0
238,2019-01-31,219.5
237,2019-01-31,285.0
242,2019-01-31,450.0
256,2019-02-01,350.0
259,2019-02-01,250.0
258,2019-02-01,195.0
257,2019-02-01,30.0
254,2019-02-01,122.0
255,2019-02-01,85.0
252,2019-02-01,170.0
253,2019-02-01,360.0
251,2019-02-01,102.0
250,2019-02-01,1300.0
249,2019-02-01,940.0
248,2019-02-01,580.0
273,2019-02-02,91.0
272,2019-02-02,310.0
271,2019-02-02,235.5
270,2019-02-02,161.0
269,2019-02-02,86.5
268,2019-02-02,12.0
267,2019-02-02,220.0
266,2019-02-02,150.0
265,2019-02-02,170.0
264,2019-02-02,360.0
263,2019-02-02,230.0
262,2019-02-02,300.0
261,2019-02-02,1000.0
260,2019-02-02,180.0
287,2019-02-04,25.0
286,2019-02-04,110.0
285,2019-02-04,125.0
283,2019-02-04,30.0
282,2019-02-04,125.0
281,2019-02-04,230.0
284,2019-02-04,32.0
279,2019-02-04,305.0
278,2019-02-04,1230.0
277,2019-02-04,605.0
280,2019-02-04,195.0
276,2019-02-04,810.0
275,2019-02-04,660.0
274,2019-02-04,1200.0
297,2019-02-05,120.0
296,2019-02-05,25.0
295,2019-02-05,560.0
294,2019-02-05,775.0
293,2019-02-05,1130.0
298,2019-02-05,30.0
291,2019-02-05,1005.0
290,2019-02-05,11.0
289,2019-02-05,14.75
288,2019-02-05,18.5
292,2019-02-05,350.0
311,2019-02-06,85.0
310,2019-02-06,100.0
309,2019-02-06,112.0
308,2019-02-06,180.0
307,2019-02-06,235.0
