fecha,real,prediccion
2024-11-23,1986.8947368421052,1967.9830721669503
2024-11-24,2068.157894736842,2027.9273104336423
2024-11-25,2149.421052631579,2085.0644663557996
2024-11-26,2230.684210526316,2135.943909829833
2024-11-27,2311.9473684210525,2183.0049584504195
2024-11-28,2393.210526315789,2226.5900810997705
2024-11-29,2474.4736842105262,2266.44945838318
2024-11-30,2555.7368421052633,2303.129450549959
2024-12-01,2637.0,2336.9062785092538
2024-12-02,2080.0,2367.9381367133788
2024-12-03,1523.0,2396.4767076229655
2024-12-04,1910.9,2422.7273819955703
2024-12-05,2022.95,2446.863551185454
2024-12-06,2135.0,2469.0590507109478
2024-12-07,1226.0,2489.4708723927542
2024-12-08,2797.0,2508.2409666452463
2024-12-09,1873.0,2525.5017986519442
2024-12-10,563.0,2541.3748889019116
2024-12-11,1333.5,2555.9716188339403
2024-12-12,1030.0,2569.394669878255
2024-12-13,1038.8809523809523,2581.7384407767768
2024-12-14,1047.7619047619048,2593.0896851392104
2024-12-15,1056.642857142857,2603.5282145697784
2024-12-16,1065.5238095238096,2613.127421582286
2024-12-17,1074.404761904762,2621.954789418348
2024-12-18,1083.2857142857142,2630.072379577573
2024-12-19,1092.1666666666667,2637.537263437341
2024-12-20,1101.047619047619,2644.401922306677
2024-12-21,1109.9285714285713,2650.71461821409
2024-12-22,1118.8095238095239,2656.5197326474135
2024-12-23,1127.6904761904761,2661.858078370721
2024-12-24,1136.5714285714287,2666.767186608219
2024-12-25,1145.452380952381,2671.281570841161
2024-12-26,1154.3333333333333,2675.4329694206717
2024-12-27,1163.2142857142858,2679.250568738098
2024-12-28,1172.095238095238,2682.7612084123725
2024-12-29,1180.9761904761904,2685.9895699804556
2024-12-30,1189.857142857143,2688.9583504253587
2024-12-31,1198.7380952380952,2691.688421746404
2025-01-01,1207.6190476190477,2694.1989776989026
2025-01-02,1216.5,2696.507668736385
2025-01-03,726.5,2698.630726101965
2025-01-04,2771.5,2700.5830759419096
2025-01-05,2641.3333333333335,2702.3784442439246
2025-01-06,2511.1666666666665,2704.029453337656
2025-01-07,2381.0,2705.547710635905
2025-01-08,2049.0,2706.94389024051
2025-01-09,2053.375,2708.2278079865764
2025-01-10,2057.75,2709.408490452662
2025-01-11,2062.125,2710.4942384221044
2025-01-12,2066.5,2711.492685241643
2025-01-13,2070.875,2712.410850487633
2025-01-14,2075.25,2713.25518931715
2025-01-15,2079.625,2714.0316378509447
2025-01-16,2084.0,2714.745654907316
2025-01-17,2088.375,2715.402260380312
2025-01-18,2092.75,2716.0060705320743
2025-01-19,2097.125,2716.5613304474496
2025-01-20,2101.5,2717.0719438790443
2025-01-21,2105.875,2717.5415006925386
2025-01-22,2110.25,2717.973302105225
2025-01-23,2114.625,2718.3703838952
2025-01-24,2119.0,2718.735537744395
2025-01-25,2123.375,2719.0713308654804
2025-01-26,2127.75,2719.3801240506455
2025-01-27,2132.125,2719.664088269138
2025-01-28,2136.5,2719.9252199302573
2025-01-29,2140.875,2720.165354919097
2025-01-30,2145.25,2720.3861815037326
2025-01-31,2149.625,2720.5892522045806
2025-02-01,2154.0,2720.775994709388
2025-02-02,1953.0,2720.9477219105847
2025-02-03,1752.0,2721.10564113557
2025-02-04,1551.0,2721.25086263482
2025-02-05,2921.0,2721.3844073875025
2025-02-06,1114.0,2721.507214279465
2025-02-07,1791.5,2721.6201467040687
2025-02-08,1486.5,2721.7239986322706
2025-02-09,1529.4761904761904,2721.8195001946356
2025-02-10,1572.452380952381,2721.9073228145144
2025-02-11,1615.4285714285713,2721.988083928483
2025-02-12,1658.404761904762,2722.062351327229
2025-02-13,1701.3809523809523,2722.1306471474013
2025-02-14,1744.357142857143,2722.193451542489
2025-02-15,1787.3333333333333,2722.25120605854
2025-02-16,1830.3095238095239,2722.3043167384476
2025-02-17,1873.2857142857142,2722.3531569766333
2025-02-18,1916.2619047619048,2722.398070144195
2025-02-19,1959.2380952380952,2722.4393720029784
2025-02-20,2002.2142857142858,2722.4773529255344
2025-02-21,2045.1904761904761,2722.512279936587
2025-02-22,2088.1666666666665,2722.544398590348
2025-02-23,2131.142857142857,2722.573934696882
2025-02-24,2174.1190476190477,2722.6010959096693
2025-02-25,2217.095238095238,2722.626073185506
2025-02-26,2260.0714285714284,2722.6490421270296
2025-02-27,2303.0476190476193,2722.670164217292
2025-02-28,2346.0238095238096,2722.6895879550634
2025-03-01,2389.0,2722.7074498988545
2025-03-02,2583.0,2722.7238756269894
2025-03-03,1802.0,2722.7389806204837
2025-03-04,1021.0,2722.752871074934
2025-03-05,1336.0,2722.7656446471233
2025-03-06,1882.0,2722.7773911416007
2025-03-07,1832.0,2722.788193142048
2025-03-08,1824.88,2722.798126591886
2025-03-09,1817.76,2722.8072613281943
2025-03-10,1810.64,2722.8156615726994
2025-03-11,1803.52,2722.8233863832866
2025-03-12,1796.4,2722.8304900692056
2025-03-13,1789.28,2722.8370225728922
2025-03-14,1782.16,2722.843029821087
2025-03-15,1775.04,2722.8485540477245
2025-03-16,1767.92,2722.8536340908577
2025-03-17,1760.8,2722.8583056657094
2025-03-18,1753.68,2722.862601615768
2025-03-19,1746.56,2722.8665521436933
2025-03-20,1739.44,2722.8701850236557
2025-03-21,1732.32,2722.873525796603
2025-03-22,1725.2,2722.8765979498266
2025-03-23,1718.08,2722.879423082087
2025-03-24,1710.96,2722.8820210554654
2025-03-25,1703.84,2722.8844101350032
2025-03-26,1696.72,2722.886607117114
2025-03-27,1689.6,2722.8886274476727
2025-03-28,1682.48,2722.8904853306044
