ds,real,prediccion,residuo
2024-05-15,1425.0,1716.1788050808095,-291.1788050808095
2024-05-16,1794.6,1698.4507676686735,96.1492323313264
2024-05-17,1830.5,1834.274838433903,-3.7748384339029144
2024-05-18,1253.5,1316.7255207697585,-63.22552076975853
2024-05-20,1990.0,1953.0893730723735,36.91062692762648
2024-05-21,888.0,1750.886874201132,-862.8868742011321
2024-05-22,979.8,1591.004279035912,-611.2042790359121
2024-05-23,1655.0,1586.799500533746,68.20049946625409
2024-05-24,1036.0,1432.590112904872,-396.59011290487206
2024-05-25,738.5,974.4290853577533,-235.92908535775325
2024-05-27,2304.9,1689.3448671170495,615.5551328829506
2024-05-28,568.4,1540.7074253214562,-972.3074253214562
2024-05-29,1392.0,1307.3746401520705,84.62535984792953
2024-05-31,1859.0,1328.1956338858365,530.8043661141635
2024-06-01,1036.0,1040.5768106611447,-4.576810661144691
2024-06-03,1991.0,1686.977967494394,304.0220325056059
2024-06-04,904.5,1445.0359966926399,-540.5359966926399
2024-06-05,1966.0,1225.4654476208239,740.5345523791761
2024-06-06,1347.5,1629.0527276961375,-281.5527276961375
2024-06-07,829.5,1227.6531944746368,-398.15319447463685
2024-06-08,587.0,991.121264344406,-404.121264344406
2024-06-10,1510.5,1517.837925376789,-7.337925376788917
2024-06-11,2115.5,1483.9340539696955,631.5659460303045
2024-06-12,2135.0,1719.6213863073592,415.3786136926408
2024-06-13,1710.0,1616.550821092129,93.4491789078711
2024-06-14,1584.0,1461.9977731717172,122.0022268282828
2024-06-15,1006.7,1293.0929209826566,-286.3929209826565
2024-06-17,2588.5,1826.017258892496,762.4827411075039
2024-06-18,1172.5,1813.1332995624416,-640.6332995624416
2024-06-19,2702.0,1858.7125450561666,843.2874549438334
2024-06-20,1398.0,1646.8123535229233,-248.81235352292333
2024-06-21,225.0,1509.2960703444878,-1284.2960703444878
2024-06-22,1653.0,1296.7862615987347,356.21373840126535
2024-06-24,1750.5,1689.4138045518969,61.086195448103126
2024-06-25,2268.5,1692.0595781885384,576.4404218114616
2024-06-26,1701.0,1637.9779999279103,63.02200007208967
2024-06-27,2048.0,1479.9715790174823,568.0284209825177
2024-06-28,1485.0,1555.3848394202018,-70.38483942020184
2024-06-29,1197.5,1417.6212231239883,-220.12122312398833
2024-07-01,3227.5,2283.9879796117766,943.5120203882234
2024-07-02,2999.0,2427.5837388060822,571.4162611939178
2024-07-03,1841.0,2239.674374613997,-398.67437461399686
2024-07-04,2613.0,2406.609755375529,206.39024462447105
2024-07-05,870.5,1820.5470576743942,-950.0470576743942
2024-07-06,1208.0,1545.2569931722721,-337.25699317227213
2024-07-08,1647.0,2614.4070971884785,-967.4070971884785
2024-07-09,1322.0,1937.2913574816387,-615.2913574816387
2024-07-10,2054.0,1565.4809547633467,488.51904523665326
2024-07-11,2208.0,1668.9175510139805,539.0824489860195
2024-07-12,1226.0,1600.7673546334224,-374.7673546334224
2024-07-13,1324.1399999999999,1338.9899335463995,-14.849933546399598
2024-07-15,1365.0,1750.6786329078138,-385.67863290781384
2024-07-16,2512.0,1788.9852396005103,723.0147603994897
2024-07-17,1935.0,1950.406365004093,-15.406365004093004
2024-07-18,1415.1,1787.9374601873653,-372.8374601873654
2024-07-19,1104.43,1555.7834250062158,-451.35342500621573
2024-07-20,1378.5,1247.8218897877398,130.6781102122602
2024-07-22,1803.5,1827.108844654289,-23.608844654288987
2024-07-23,1082.0,1776.0380849714302,-694.0380849714302
2024-07-24,1992.0,1699.0384058040313,292.9615941959687
2024-07-25,899.5,1425.422996521482,-525.922996521482
2024-07-26,721.5,1328.9395979994445,-607.4395979994445
2024-07-27,1031.0,980.6811879861799,50.31881201382009
2024-07-29,2118.5,1681.107047172106,437.3929528278941
2024-07-30,2820.0,1851.2275975737077,968.7724024262923
2024-07-31,1857.0,1720.2148630747627,136.78513692523734
2024-08-01,346.0,1559.3430803960505,-1213.3430803960505
2024-08-02,1874.0,1628.307166004052,245.69283399594792
2024-08-03,1230.0,1228.841457762461,1.1585422375389953
2024-08-05,1361.5,1870.650793387614,-509.15079338761393
2024-08-07,1336.0,1639.0620703766815,-303.0620703766815
2024-08-08,1708.0,1417.7818303989902,290.2181696010098
2024-08-09,3053.5,1615.420997600126,1438.079002399874
2024-08-10,1202.5,1328.792356270036,-126.29235627003595
2024-08-12,2797.0,2046.1752313479851,750.8247686520149
2024-08-13,2082.0,2006.7409886621715,75.2590113378285
2024-08-14,1418.0,2088.5235801453646,-670.5235801453646
2024-08-15,2196.0,1898.1935453414371,297.80645465856287
2024-08-16,636.5,1791.1622667140634,-1154.6622667140634
2024-08-17,1015.5,1271.9531784633148,-256.45317846331477
2024-08-19,1008.0,1915.4455243497061,-907.4455243497061
2024-08-20,1121.5,1624.1395669208584,-502.63956692085844
2024-08-21,1091.5,1494.720212256582,-403.22021225658204
2024-08-22,2508.0,1421.012257407542,1086.987742592458
2024-08-23,2801.0,1546.3155496613979,1254.6844503386021
2024-08-24,1292.5,1218.3170433057508,74.18295669424924
2024-08-26,6788.0,2380.3002543205603,4407.69974567944
2024-08-27,1446.0,2062.976372628428,-616.9763726284282
2024-08-28,1355.0,2297.7714190894676,-942.7714190894676
2024-08-29,956.0,2358.7626200979025,-1402.7626200979025
2024-08-30,2195.0,2996.5675897876577,-801.5675897876577
2024-08-31,1910.0,1404.8022582326564,505.1977417673436
2024-09-02,1326.0,2730.766691318184,-1404.7666913181838
2024-09-03,1520.0,1706.773731488679,-186.773731488679
2024-09-04,1895.0,1611.4802074006,283.51979259940003
2024-09-05,1364.0,1465.231792200365,-101.23179220036491
2024-09-06,2016.0,1670.6600655673221,345.33993443267786
2024-09-07,1207.0,1232.105979280498,-25.105979280498104
2024-09-09,2043.0,1847.7190478596417,195.2809521403583
2024-09-10,1956.1,1596.751643257252,359.3483567427479
2024-09-11,1693.0,1925.6843026404158,-232.6843026404158
2024-09-12,1873.0,1651.6209530907606,221.37904690923938
2024-09-13,1560.0,1618.7229866932503,-58.72298669325028
2024-09-16,2042.5,1772.2060142059686,270.2939857940314
2024-09-17,2587.0,1995.44405092887,591.55594907113
2024-09-18,1082.0,1758.0003755508235,-676.0003755508235
2024-09-19,2982.0,2113.0279437791105,868.9720562208895
2024-09-20,1675.0,2078.1274642239414,-403.1274642239414
2024-09-21,664.5,1340.5707533001455,-676.0707533001455
2024-09-23,1921.0,2313.0989528070795,-392.0989528070795
2024-09-24,2256.5,1928.0258333182871,328.47416668171286
2024-09-25,2215.0,1877.831952521988,337.1680474780121
2024-09-26,1629.0,1791.813136449988,-162.81313644998795
2024-09-27,1179.0,1556.7020400982362,-377.70204009823624
2024-09-28,1057.0,1250.0105275000014,-193.01052750000144
2024-09-30,1670.0,1682.2907464628154,-12.290746462815378
2024-10-01,1815.0,1749.1032786406931,65.89672135930687
2024-10-02,1109.5,1509.9330480295816,-400.43304802958164
2024-10-03,1201.0,1598.3917969913423,-397.3917969913423
2024-10-04,1676.5,1385.8243246637808,290.67567533621923
2024-10-05,2176.0,1163.3405262373758,1012.6594737626242
2024-10-07,1460.0,1731.3657033823488,-271.3657033823488
2024-10-08,1816.0,1656.0243519955093,159.97564800449072
2024-10-09,2012.5,1511.338194177729,501.16180582227094
2024-10-10,2313.0,1731.2577816514683,581.7422183485317
2024-10-11,2340.0,1830.6036253542572,509.39637464574275
2024-10-12,563.0,1285.100447616523,-722.1004476165231
2024-10-14,3387.0,2335.4367544496054,1051.5632455503946
2024-10-15,2157.5,2141.51872237174,15.981277628260159
2024-10-16,2620.0,2063.0005137424805,556.9994862575195
2024-10-17,1435.0,1882.4806484949447,-447.4806484949447
2024-10-18,1305.0,2027.936033341438,-722.9360333414379
2024-10-19,659.5,1278.0346189126992,-618.5346189126992
2024-10-21,1082.5,1898.4794726010102,-815.9794726010102
2024-10-22,1456.5,1710.3163414406706,-253.8163414406706
2024-10-23,2031.0,1536.938406385065,494.06159361493496
2024-10-24,1882.0,1490.6728432936518,391.3271567063482
2024-10-25,1191.5,1478.4614442455875,-286.9614442455875
2024-10-26,1630.5,973.7886667686207,656.7113332313793
2024-10-28,1713.5,1663.4657097637457,50.034290236254265
2024-10-29,1643.5,1662.627603547346,-19.127603547346098
2024-10-30,628.0,1840.4627749869549,-1212.4627749869549
2024-10-31,395.0,1307.978047422466,-912.978047422466
2024-11-01,2732.0,1535.8403856413595,1196.1596143586405
2024-11-04,861.0,1623.817886982296,-762.8178869822959
2024-11-05,2037.0,1552.3081758191258,484.69182418087416
2024-11-06,1296.5,1434.1626372087364,-137.66263720873644
2024-11-07,890.0,1362.1611120817518,-472.16111208175175
2024-11-08,758.0,1380.195381292596,-622.195381292596
2024-11-09,2073.5,1236.3693577807203,837.1306422192797
2024-11-11,1378.0,1555.1460389588738,-177.14603895887376
2024-11-12,1333.5,1489.232921107005,-155.73292110700504
2024-11-13,776.5,1313.3465801709951,-536.8465801709951
2024-11-14,1720.0,1268.5681449055937,451.4318550944063
2024-11-15,2103.0,1596.1687523071923,506.83124769280766
